threat_type,severity,source_ip,target_asset,ioc_type,ioc_source,status,description_length,related_iocs,open_ports,risk_level
ransomware,critical,10.0.0.45,finance-db,hash_sha256,internal,open,220,6,2,critical
ransomware,high,10.0.1.23,endpoint-laptop,url,osint,investigating,180,4,3,high
ransomware,critical,172.16.5.10,backup-server,domain,internal,open,240,7,4,critical
phishing,medium,192.168.1.15,email-gateway,email,osint,open,110,3,1,medium
phishing,high,192.168.1.18,hr-portal,url,partner_feed,investigating,135,4,2,high
phishing,low,192.168.1.24,marketing-mail,email,osint,closed,75,1,1,low
ddos,high,8.8.8.8,public-web,url,partner_feed,open,160,5,8,high
ddos,critical,1.1.1.1,public-api,ip,internal,open,205,6,12,critical
ddos,medium,203.0.113.7,cdn-edge,ip,osint,investigating,120,3,10,medium
sql_injection,critical,198.51.100.17,customer-portal,url,internal,open,190,5,6,critical
sql_injection,high,198.51.100.18,crm-api,domain,partner_feed,investigating,165,4,5,high
sql_injection,medium,198.51.100.19,legacy-app,url,osint,closed,105,2,4,medium
xss,medium,203.0.113.45,marketing-site,url,osint,open,90,2,3,medium
xss,high,203.0.113.46,customer-ui,domain,partner_feed,investigating,130,3,3,high
xss,low,203.0.113.47,blog-cms,url,osint,closed,60,1,2,low
brute_force,high,45.33.32.1,admin-vpn,ip,internal,open,150,4,2,high
brute_force,medium,45.33.32.2,ssh-gateway,ip,osint,investigating,98,2,2,medium
brute_force,low,45.33.32.3,test-lab,ip,osint,closed,55,1,1,low
malware,critical,172.20.1.9,domain-controller,hash_md5,internal,open,210,6,5,critical
malware,high,172.20.1.10,engineering-workstation,filename,osint,investigating,155,4,4,high
malware,medium,172.20.1.11,qa-laptop,hash_md5,partner_feed,closed,88,2,3,medium
zero_day,critical,10.10.10.8,identity-server,domain,partner_feed,open,230,7,7,critical
zero_day,high,10.10.10.9,api-gateway,url,internal,investigating,175,5,6,high
zero_day,medium,10.10.10.10,staging-api,url,osint,open,125,3,5,medium
spear_phishing,high,192.0.2.21,executive-mailbox,email,internal,open,145,4,1,high
spear_phishing,critical,192.0.2.22,finance-mailbox,email,partner_feed,open,190,5,1,critical
spear_phishing,medium,192.0.2.23,sales-mailbox,email,osint,investigating,112,3,1,medium
insider_threat,critical,10.1.5.5,file-server,filename,internal,investigating,215,6,2,critical
insider_threat,high,10.1.5.6,source-repo,registry_key,internal,open,170,4,2,high
insider_threat,medium,10.1.5.7,shared-drive,filename,internal,closed,108,2,1,medium
credential_stuffing,high,198.18.0.10,customer-login,ip,osint,open,150,4,2,high
credential_stuffing,critical,198.18.0.11,banking-login,ip,partner_feed,open,205,5,2,critical
credential_stuffing,medium,198.18.0.12,support-login,ip,osint,investigating,115,3,2,medium
botnet,critical,100.64.0.15,iot-gateway,ip,partner_feed,open,225,7,11,critical
botnet,high,100.64.0.16,edge-router,domain,internal,investigating,168,5,9,high
botnet,medium,100.64.0.17,branch-firewall,ip,osint,closed,118,3,8,medium
data_exfiltration,critical,172.31.0.44,object-storage,filename,internal,open,235,6,3,critical
data_exfiltration,high,172.31.0.45,analytics-db,hash_sha256,partner_feed,investigating,182,5,3,high
data_exfiltration,medium,172.31.0.46,dev-bucket,url,osint,closed,120,3,2,medium
